season,team_code,team_name,team_link,team_img
2003,IST,Efes Pilsen,https://www.euroleague.net/competition/teams/showteam?clubcode=IST&seasoncode=E2003,https://www.euroleague.net/rs/a35a6anofpgn5wca/5fae8dff-b186-4e7f-a158-c16e8e479736/7d6/filename/5fa.png
2003,BAR,FC Barcelona,https://www.euroleague.net/competition/teams/showteam?clubcode=BAR&seasoncode=E2003,https://www.euroleague.net/rs/a35abupuatwppttd/5fae8dff-b186-4e7f-a158-c16e8e479736/4a4/filename/5fa.png
2003,WRO,Idea Slask,https://www.euroleague.net/competition/teams/showteam?clubcode=WRO&seasoncode=E2003,https://www.euroleague.net/rs/7111/5fae8dff-b186-4e7f-a158-c16e8e479736/eb7/filename/5fa.jpg
2003,MES,KRKA Novo Mesto,https://www.euroleague.net/competition/teams/showteam?clubcode=MES&seasoncode=E2003,https://www.euroleague.net/rs/33403/5fae8dff-b186-4e7f-a158-c16e8e479736/7b4/filename/5fa.png
2003,ROM,Lottomatica Roma,https://www.euroleague.net/competition/teams/showteam?clubcode=ROM&seasoncode=E2003,https://www.euroleague.net/rs/14541/5fae8dff-b186-4e7f-a158-c16e8e479736/8c8/filename/5fa.png
2003,TEL,Maccabi Elite,https://www.euroleague.net/competition/teams/showteam?clubcode=TEL&seasoncode=E2003,https://www.euroleague.net/rs/a35apnp9acakcpfc/5fae8dff-b186-4e7f-a158-c16e8e479736/658/filename/5fa.png
2003,SIE,Montepaschi Siena,https://www.euroleague.net/competition/teams/showteam?clubcode=SIE&seasoncode=E2003,https://www.euroleague.net/rs/14529/5fae8dff-b186-4e7f-a158-c16e8e479736/60d/filename/5fa.png
2003,OLY,Olympiacos,https://www.euroleague.net/competition/teams/showteam?clubcode=OLY&seasoncode=E2003,https://www.euroleague.net/rs/a35arljanoudh995/5fae8dff-b186-4e7f-a158-c16e8e479736/c8c/filename/5fa.png
2003,PAM,Pamesa Valencia,https://www.euroleague.net/competition/teams/showteam?clubcode=PAM&seasoncode=E2003,https://www.euroleague.net/rs/a35awu3dcq9vu3i4/5fae8dff-b186-4e7f-a158-c16e8e479736/821/filename/5fa.png
2003,PAN,Panathinaikos,https://www.euroleague.net/competition/teams/showteam?clubcode=PAN&seasoncode=E2003,https://www.euroleague.net/rs/a35atgy4e3u3txqh/5fae8dff-b186-4e7f-a158-c16e8e479736/c20/filename/5fa.png
2003,PAR,Partizan,https://www.euroleague.net/competition/teams/showteam?clubcode=PAR&seasoncode=E2003,https://www.euroleague.net/rs/a35cbqti3cm45opg/5fae8dff-b186-4e7f-a158-c16e8e479736/a2c/filename/5fa.png
2003,PAU,Pau-Orthez,https://www.euroleague.net/competition/teams/showteam?clubcode=PAU&seasoncode=E2003,https://www.euroleague.net/rs/562/5fae8dff-b186-4e7f-a158-c16e8e479736/918/filename/5fa.jpg
2003,FOR,Skipper Bologna,https://www.euroleague.net/competition/teams/showteam?clubcode=FOR&seasoncode=E2003,https://www.euroleague.net/rs/14470/5fae8dff-b186-4e7f-a158-c16e8e479736/433/filename/5fa.png
2003,BAS,Tau Ceramica,https://www.euroleague.net/competition/teams/showteam?clubcode=BAS&seasoncode=E2003,https://www.euroleague.net/rs/a35alqtlytg7rvt7/5fae8dff-b186-4e7f-a158-c16e8e479736/cf3/filename/5fa.png
2003,ULK,Ulker,https://www.euroleague.net/competition/teams/showteam?clubcode=ULK&seasoncode=E2003,https://www.euroleague.net/rs/a35ahld7vsu3xrgt/5fae8dff-b186-4e7f-a158-c16e8e479736/f9e/filename/5fa.png
2003,MAL,Unicaja,https://www.euroleague.net/competition/teams/showteam?clubcode=MAL&seasoncode=E2003,https://www.euroleague.net/rs/a35cod7jmruy8e8y/5fae8dff-b186-4e7f-a158-c16e8e479736/737/filename/5fa.png
2003,LJU,Union Olimpija,https://www.euroleague.net/competition/teams/showteam?clubcode=LJU&seasoncode=E2003,https://www.euroleague.net/rs/a35blsmch9dkl358/5fae8dff-b186-4e7f-a158-c16e8e479736/367/filename/5fa.png
2003,ZAL,Zalgiris,https://www.euroleague.net/competition/teams/showteam?clubcode=ZAL&seasoncode=E2003,https://www.euroleague.net/rs/a35b39s6ef7fo9pa/5fae8dff-b186-4e7f-a158-c16e8e479736/a77/filename/5fa.png
2004,EST,Adecco Estudiantes,https://www.euroleague.net/competition/teams/showteam?clubcode=EST&seasoncode=E2004,https://www.euroleague.net/rs/28267/5fae8dff-b186-4e7f-a158-c16e8e479736/9ee/filename/5fa.png
2004,AEK,AEK Athens,https://www.euroleague.net/competition/teams/showteam?clubcode=AEK&seasoncode=E2004,https://www.euroleague.net/rs/66nqu3xd77u8dv6q/5fae8dff-b186-4e7f-a158-c16e8e479736/dd4/filename/5fa.png
2004,ASV,Asvel Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=ASV&seasoncode=E2004,https://www.euroleague.net/rs/a35anmkqepkgw7pu/5fae8dff-b186-4e7f-a158-c16e8e479736/00c/filename/5fa.png
2004,TRE,Benetton Basket,https://www.euroleague.net/competition/teams/showteam?clubcode=TRE&seasoncode=E2004,https://www.euroleague.net/rs/7041/5fae8dff-b186-4e7f-a158-c16e8e479736/2fb/filename/5fa.jpg
